#SampleID	Group
BL1	BLW0
BL2	BLW0
BL3	BLW0
BL4	BLW0
BL5	BLW0
LossBL1	LossBLW4
LossBL2	LossBLW4
LossBL3	LossBLW4
LossBL4	LossBLW4
LossBL5	LossBLW4
LossHF1	LossHFDS
LossHF2	LossHFDS
LossHF3	LossHFDS
LossHF4	LossHFDS
LossHF5	LossHFDS
LAPS11	LossAPS1
LAPS12	LossAPS1
LAPS13	LossAPS1
LAPS14	LossAPS1
LAPS15	LossAPS1
C1	CtrlDiet
C2	CtrlDiet
C3	CtrlDiet
C4	CtrlDiet
C5	CtrlDiet
HF1	HFDS
HF2	HFDS
HF3	HFDS
HF4	HFDS
HF5	HFDS
HFAPS1	HFDAPS1
HFAPS2	HFDAPS1
HFAPS3	HFDAPS1
HFAPS4	HFDAPS1
HFAPS5	HFDAPS1
HFM11	HFDM1
HFM12	HFDM1
HFM13	HFDM1
HFM14	HFDM1
HFM15	HFDM1
